reason,question,answer
low_grounding:0.000,"현대모비스 2023년 거버넌스(GOV-1)에 대해 모든 섹터에 대한 지점 기후 변화와 관련된 이슈에 대한 사회의 감독을 기술함에 있어서 조직은 다음에 대한 논의를 포함시키는 것을 고려해야 합니다. -이사회 및 또는 운영위원회( 예: 감사, 위험 또는 기타 위원회)가 기후 변화와 관련된 이슈에 관해 통보 받는 프로세스 및 빈도 -이사회 및 또는 운영위원회가 조직의 성과 목표 설정, 이행 및 성과 모니터링 , 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",(회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기답변: (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사 연도 p.페이지) 표기- (회사
a_len,"현대모비스 2023년 거버넌스(GOV-2)에 대해 모든 섹터에 대한 지침 기후 변화와 관련된 이슈의 평가 및 관리와 관련된 경영진의 역할을 설명할 때, 조직은다음 정보를 고려해야 합니다 — 조직이 관리 수준의 직위 또는 위원회에 기후 변화와 관련된 책임올 부여했는지, 만약그렇다면, 그러한 관리직 또는 위원회가 이사회 또는 운영위권회에 보고하는지 여부와 그러한 책임이 기후 변화와 관련된 이슈의 평가 및 또는 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",저는 현대자동차에 재직 중인
a_len,"현대모비스 2023년 전략(STRAT-1)에 대해 모든 섹터에 지침 조직은 다음 정보를 제공해야 합니다 - 조직의 자산 또는 기반 시설의 유용한 수명과 기후 변화와 관련된 이슈가 중장기에 걸쳐 종종 나타나는 사실을 고려하여, 관련 단기, 중기 및 장기간의 시간 주기로 생각하는 것에 대한 설명 - 조직에 중대한 재무적 영향을 미칠 수 있는 각 시간 주기( 단기, 중기 및 장기)에 대한 구체적인 기후 변화와 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",이 부분이 제가 궁금한 부분입니다.
a_len,"현대모비스 2023년 전략(STRAT-2)에 대해 모든 섹터에 지침 권장된 정보 공개 (a)를 바탕으로 확인된 기후 변화와 관련된 이슈가 조직의 사업, 전략 및 재무 계획에 어떻게 영향을 미쳤는지에 대해 논의해야 합니다. 조직은 다음 영역에서 사업 및 전략에 미치는 영향을 포함하는 것을 고려해야 합니다. - 제품 및 서비스 - 공급망 및/또는 가치 사슬 - 조정 및 완화 활동 - 연구 개발 투자 - 운영 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.","""근거자료가 부족합니다""라는 표현으로 대체하기"
low_grounding:0.000,"현대모비스 2023년 전략(STRAT-3)에 대해 모든 섹터에 대한 지침 조직은 2°C 이하의 시나리오 및 조직과 관련이 있는 경우, 물리적 기후 변화와 관련된 위험 증가와 일관된 시나리오와 일치하는 저탄소 경제로의 전환을 고려하여 기후 변화와 관련된 리스크와 기회에 대한 전략이 얼마나 탄력적인지를 설명해야합니다. 조직은 다음 사항의 논의를 고려해야 합니다. -조직의 전략이 기후 변화와 관련된 리스크 및 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",본 자료는 이해관계자의 요청으로 인해 비공개로 변경됐습니다.[현대모비스 2019년 12월 31일 공시] - 현대모비스(주) / 지주회사 / 현대모비스 주식회사 / 현대모비스 주식회사 / 현대모비스 주식회사 / 현대모비스 주식회사 / 현대모비스 주식회사 / 현대모비스 주식회사 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹 / 현대자동차그룹
low_grounding:0.000,현대모비스 2023년 리스크관리(RM-1)에 대해 모든 섹터에 대한 지침 조직은 기후 변화와 관련된 위험을 식별하고 평가하기 위한 위험 관리 프로세스를 설명해야 합니다 이 설명의 중요한 측면은 조직이 다른 위험과 관련하여 기후 변화와 관련된 위험의 상대적 중요성을 결정하는 방법입니다. 조작은 기후 변화와 관련된 현존 하거나 새로 등장하는 규제 요건 (예: 배출량 제한) 및 고려되는 기타 관련 요인을 고려해 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.,"현대자동차그룹 기후변화 대응 전략 - (1) 기후변화의 이해 및 기후변화에 대한 회사의 대응 방향, (2) ESG(환경, 사회, 지배구조) 경영 등https://blog.naver.com/hyundai-mobis/222375802081 (2021.07.04) 현대차그룹 기후변화 대응 전략 - (1) 기후변화의 이해 및 기후변화에 대한 회사의 대응 방향, (2) ESG(환경, 사회, 지배구조) 경영 등안녕하세요. HR혁신연구소 김경호입니다. 현대차그룹은 기후변화 대응 전략에 대한 포스팅입니다. ESG(환경...blog.naver.com (2021.07.03) 현대차그룹 기후변화 대응 전략 - (1) 기후변화의 이해 및 기후변화에 대한 회사의 대응 방향, (2) ESG(환경, 사회, 지배구조) 경영 등안녕하세요. HR혁신연구소 김경호입니다. 지난 7월 4일(목)에 발표된 현대차그룹의 기후변화 대응 전략에 대한 포...blog.naver.com (2021.06.18) 현대차그룹 기후변화 대응 전략 - (1) 기후변화의 이해"
low_grounding:0.000,"현대모비스 2023년 리스크관리(RM-2)에 대해 모든 섹터에 대한 지침 조직은 기후 위험을 완화, 전가, 수용 또는 통제하기 위한 의사 결정 방법을 포함하여 기후 변화와 관련된 위험을 관리하는 프로세스를 설명해야 합니다. 또한 조직은 중요성 결정이 조직 내에서 이루어지는 방법을 포함하여 기후 변화와 관련된 위험의 우선순위 결정을 위한 프로세스를 설명해야 합니다. 기후 변화와 관련된 위험을 관리하는 프로세 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",1)당사는 기후변화 대응을 전사적 리스크 관리 체계 내 포함하여 전사 차원에서의 리스크 관리를
a_len,"현대모비스 2023년 리스크관리(RM-3)에 대해 모든 섹터에 대한 지침 조직은 기후 변화와 관련된 위험을 식별, 평가 및 관리하는 프로세스가 그들의 전반적인 리스크 관리에 어떻게 통합되는지 설명해야 합니다. 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",1)
a_len,"현대모비스 2023년 지표및목표(MT-1)에 대해 모든 섹터에 대한 지침 조직은 표1에서 설명한 바와 같이 기후변화 관련 위험과 기회를 측정하고 관리하는데 사용하는 주요 지표와 표2에서 설명한 기후변화 관련 산업 전반의 지표 범주별 부합되는 지표를 제시해야 한다. 조직은 해당되고 적용가능한 경우, 물, 에너지, 토지 이용 및 폐기물 관리와 관련된 기후변화 관련 위험에 대한 지표를 포함시킬 것을 고려해야 한 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",1)
low_ko_ratio,"현대모비스 2023년 지표및목표(MT-2)에 대해 모든 섹터에 대한 지침 조직은 Scope 1, Scope 2 GHG 배출량, 그리고 해당되는 경우, Scope 3 GHG 배출량 및 관련 위험을 제공해야 합니다. GHG 배출량은 GHG 프로토콜 방법론에 따라 계산되어 조직과 관할 구역에 걸쳐 집계 및 비교가 가능해야 합니다. 적절한 경우, 조직은 일반적으로 받아들여 지는 산업별 GHG 효율 비율을 제공하는 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",https://www.kfq.or.kr/webzine/2021/04/%ec%ba%a0%ed%95%9c%ea%b5%ac%ec%9d%98-%ea%b0%80%ec%a7%84%ec%9e%90-%ec%97%85%ec%84%9c-%ec%b0%b8%ec%8b%9d-%eb%85%b8%eb%a6%ac%ec%9d%98-%ec%84%9c%ec%9a%b8%ea%b8%b0%ec%96%b4%ec%96%b4-%eb%85%b8%ea%b8%b0%ec%97%85%ec%84%9c/
low_grounding:0.000,"현대모비스 2023년 지표및목표(MT-3)에 대해 전 부문 대상 지침 조직은 표2의 기후변화 관련 산업 전반의 지표 범주에 따라, 그리고 해당되는 경우 예상되는 규제요건 혹은 시장의 제약조건 혹은 기타 목표에 따라, 온실가스 배출량, 물 사용량, 에너지 사용량 등과 같은 주요 기후변화 관련 목표를 설명해야 한다. 기타 목표에는 효율성 또는 재무적 목표, 재무적 손실 허용치, 전체 제품 라이프사이클 전반에서 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",https://blog.naver.com/mobis_official/222396083387 [현대모비스] ESG경영 현황(2021.04.01)-  현대자동차그룹 -  2021. 4. 1. 현대자동차그룹에서 제공하는...blog.naver.com
low_grounding:0.000,"현대모비스 2024년 거버넌스(GOV-1)에 대해 모든 섹터에 대한 지점 기후 변화와 관련된 이슈에 대한 사회의 감독을 기술함에 있어서 조직은 다음에 대한 논의를 포함시키는 것을 고려해야 합니다. -이사회 및 또는 운영위원회( 예: 감사, 위험 또는 기타 위원회)가 기후 변화와 관련된 이슈에 관해 통보 받는 프로세스 및 빈도 -이사회 및 또는 운영위원회가 조직의 성과 목표 설정, 이행 및 성과 모니터링 , 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",")현대모비스, 친환경차 부품 시장 공략 강화에 나서- 현대차그룹, 2025년까지 1조 1,000억원 투자해 전기차 부품 사업 본격화- 친환경차 부품 사업은 △하이브리드 △플러그인 하이브리드 △연료전지 등 세 가지 분야의 친환경차 부품 개발 및 공급에 집중할 예정, 2025년까지 icspeed@naver.com"
low_ko_ratio,"현대모비스 2024년 거버넌스(GOV-2)에 대해 모든 섹터에 대한 지침 기후 변화와 관련된 이슈의 평가 및 관리와 관련된 경영진의 역할을 설명할 때, 조직은다음 정보를 고려해야 합니다 — 조직이 관리 수준의 직위 또는 위원회에 기후 변화와 관련된 책임올 부여했는지, 만약그렇다면, 그러한 관리직 또는 위원회가 이사회 또는 운영위권회에 보고하는지 여부와 그러한 책임이 기후 변화와 관련된 이슈의 평가 및 또는 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",(작성자: 현대 모비스) (근거자료: http://mobis.co.kr/sustainability_report_docs/report_docs/service/mobis_service_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report_docs/sustainability_report
a_len,"현대모비스 2024년 전략(STRAT-1)에 대해 모든 섹터에 지침 조직은 다음 정보를 제공해야 합니다 - 조직의 자산 또는 기반 시설의 유용한 수명과 기후 변화와 관련된 이슈가 중장기에 걸쳐 종종 나타나는 사실을 고려하여, 관련 단기, 중기 및 장기간의 시간 주기로 생각하는 것에 대한 설명 - 조직에 중대한 재무적 영향을 미칠 수 있는 각 시간 주기( 단기, 중기 및 장기)에 대한 구체적인 기후 변화와 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",보고서는 조직의 기후변화 관련 리스크와
a_len,"현대모비스 2024년 전략(STRAT-2)에 대해 모든 섹터에 지침 권장된 정보 공개 (a)를 바탕으로 확인된 기후 변화와 관련된 이슈가 조직의 사업, 전략 및 재무 계획에 어떻게 영향을 미쳤는지에 대해 논의해야 합니다. 조직은 다음 영역에서 사업 및 전략에 미치는 영향을 포함하는 것을 고려해야 합니다. - 제품 및 서비스 - 공급망 및/또는 가치 사슬 - 조정 및 완화 활동 - 연구 개발 투자 - 운영 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",(2021년)     • ESG와 ESG의
low_grounding:0.000,"현대모비스 2024년 전략(STRAT-3)에 대해 모든 섹터에 대한 지침 조직은 2°C 이하의 시나리오 및 조직과 관련이 있는 경우, 물리적 기후 변화와 관련된 위험 증가와 일관된 시나리오와 일치하는 저탄소 경제로의 전환을 고려하여 기후 변화와 관련된 리스크와 기회에 대한 전략이 얼마나 탄력적인지를 설명해야합니다. 조직은 다음 사항의 논의를 고려해야 합니다. -조직의 전략이 기후 변화와 관련된 리스크 및 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",회사 연도 p.페이지- 회사 연도 p.페이지답변: 회사 연도 p.페이지- 회사 연도 p.페이지답변: 회사 연도 p.페이지답변: 회사 연도 p.페이지
low_grounding:0.000,현대모비스 2024년 리스크관리(RM-1)에 대해 모든 섹터에 대한 지침 조직은 기후 변화와 관련된 위험을 식별하고 평가하기 위한 위험 관리 프로세스를 설명해야 합니다 이 설명의 중요한 측면은 조직이 다른 위험과 관련하여 기후 변화와 관련된 위험의 상대적 중요성을 결정하는 방법입니다. 조작은 기후 변화와 관련된 현존 하거나 새로 등장하는 규제 요건 (예: 배출량 제한) 및 고려되는 기타 관련 요인을 고려해 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.,https://www.mobis.co.kr/ko/company/notice_view.do?page=&search_type=&search_blg_nm=&search_search_type=&search_str=
low_ko_ratio,"현대모비스 2024년 리스크관리(RM-2)에 대해 모든 섹터에 대한 지침 조직은 기후 위험을 완화, 전가, 수용 또는 통제하기 위한 의사 결정 방법을 포함하여 기후 변화와 관련된 위험을 관리하는 프로세스를 설명해야 합니다. 또한 조직은 중요성 결정이 조직 내에서 이루어지는 방법을 포함하여 기후 변화와 관련된 위험의 우선순위 결정을 위한 프로세스를 설명해야 합니다. 기후 변화와 관련된 위험을 관리하는 프로세 관점에서 요약해 주세요. 반드시 페이지 인용을 포함하세요.",https://www.saramin.com/question/16708276/%EB%A7%88%EC%9D%84-%EB%A7%88%EC%9D%84%EA%B8%B0-%EB%AA%A9%EB%A1%9D%EC%9D%B4%EB%B3%B4%EA%B8%B0%EC%A0%81%EB%B6%80%EC%B2%A0%EC%97%85%EC%9D%B8%EB%AF%BC%EA%B5%AD%EC%97%85%EC%9D%B8%EB%AF%BC%EA%B5%AD%EC%97%85%EC%9D%B8%EB%AF%BC%EA%B5%AD%EC%97%85%EC%9D%B8%EB%AF%BC%EA%B5%AD%EC%97%85%EC%9D%B8%EB
